"MSOA";"Sex";"Age";"Persons"
"E02000868";"M";76;5
"E02000868";"F";76;7
"E02000868";"M";77;5
"E02000868";"F";77;8
"E02000868";"M";78;7
"E02000868";"F";78;7
"E02000868";"M";79;9
"E02000868";"F";79;11
"E02000868";"M";80;7
"E02000868";"F";80;11
"E02000868";"M";81;5
"E02000868";"F";81;7
"E02000868";"M";82;7
"E02000868";"F";82;6
"E02000868";"M";83;5
"E02000868";"F";83;11
"E02000868";"M";84;8
"E02000868";"F";84;11
"E02000868";"M";85;19
"E02000868";"F";85;52
"E02000869";"M";0;41
"E02000869";"F";0;27
"E02000869";"M";1;50
"E02000869";"F";1;39
"E02000869";"M";2;27
"E02000869";"F";2;36
"E02000869";"M";3;25
"E02000869";"F";3;35
"E02000869";"M";4;33
"E02000869";"F";4;38
"E02000869";"M";5;37
"E02000869";"F";5;41
"E02000869";"M";6;24
"E02000869";"F";6;21
"E02000869";"M";7;25
"E02000869";"F";7;22
"E02000869";"M";8;38
"E02000869";"F";8;33
"E02000869";"M";9;32
"E02000869";"F";9;24
"E02000869";"M";10;24
"E02000869";"F";10;22
"E02000869";"M";11;19
"E02000869";"F";11;29
"E02000869";"M";12;22
"E02000869";"F";12;24
"E02000869";"M";13;39
"E02000869";"F";13;25
"E02000869";"M";14;45
"E02000869";"F";14;21
"E02000869";"M";15;35
"E02000869";"F";15;20
"E02000869";"M";16;24
"E02000869";"F";16;19
"E02000869";"M";17;23
"E02000869";"F";17;26
"E02000869";"M";18;31
"E02000869";"F";18;25
"E02000869";"M";19;23
"E02000869";"F";19;14
"E02000869";"M";20;34
"E02000869";"F";20;45
"E02000869";"M";21;41
"E02000869";"F";21;48
"E02000869";"M";22;61
"E02000869";"F";22;65
"E02000869";"M";23;51
"E02000869";"F";23;82
"E02000869";"M";24;76
"E02000869";"F";24;89
"E02000869";"M";25;82
"E02000869";"F";25;83
"E02000869";"M";26;73
"E02000869";"F";26;80
"E02000869";"M";27;81
"E02000869";"F";27;90
"E02000869";"M";28;77
"E02000869";"F";28;108
"E02000869";"M";29;90
"E02000869";"F";29;95
"E02000869";"M";30;88
"E02000869";"F";30;80
"E02000869";"M";31;87
"E02000869";"F";31;76
"E02000869";"M";32;71
"E02000869";"F";32;61
"E02000869";"M";33;75
"E02000869";"F";33;38
"E02000869";"M";34;58
"E02000869";"F";34;67
"E02000869";"M";35;55
"E02000869";"F";35;61
"E02000869";"M";36;65
"E02000869";"F";36;48
"E02000869";"M";37;47
"E02000869";"F";37;34
"E02000869";"M";38;62
"E02000869";"F";38;37
"E02000869";"M";39;72
"E02000869";"F";39;56
"E02000869";"M";40;60
"E02000869";"F";40;40
"E02000869";"M";41;48
"E02000869";"F";41;32
"E02000869";"M";42;54
"E02000869";"F";42;24
"E02000869";"M";43;51
"E02000869";"F";43;23
"E02000869";"M";44;51
"E02000869";"F";44;38
"E02000869";"M";45;39
"E02000869";"F";45;34
"E02000869";"M";46;37
"E02000869";"F";46;22
"E02000869";"M";47;44
"E02000869";"F";47;42
"E02000869";"M";48;33
"E02000869";"F";48;28
"E02000869";"M";49;30
"E02000869";"F";49;18
"E02000869";"M";50;37
"E02000869";"F";50;22
"E02000869";"M";51;26
"E02000869";"F";51;25
"E02000869";"M";52;30
